309,1995-96,1996-03-02,Ath Bilbao,Barcelona,0,0,D
310,1995-96,1996-03-02,Espanol,Sevilla,0,1,A
311,1995-96,1996-03-02,Merida,Sociedad,1,2,A
312,1995-96,1996-03-02,Real Madrid,Salamanca,5,0,H
313,1995-96,1996-03-02,Valladolid,Santander,3,1,H
314,1995-96,1996-03-03,Betis,Valencia,3,0,H
315,1995-96,1996-03-03,Celta,Sp Gijon,0,0,D
316,1995-96,1996-03-03,La Coruna,Ath Madrid,2,2,D
317,1995-96,1996-03-03,Oviedo,Compostela,3,1,H
318,1995-96,1996-03-03,Vallecano,Tenerife,2,4,A
319,1995-96,1996-03-03,Zaragoza,Albacete,3,1,H
320,1995-96,1996-03-09,Valencia,Barcelona,4,1,H
321,1995-96,1996-03-10,Albacete,Vallecano,1,2,A
322,1995-96,1996-03-10,Ath Madrid,Valladolid,0,2,A
323,1995-96,1996-03-10,Compostela,Betis,1,2,A
324,1995-96,1996-03-10,Espanol,Ath Bilbao,3,0,H
325,1995-96,1996-03-10,Salamanca,Oviedo,0,1,A
326,1995-96,1996-03-10,Santander,Merida,2,0,H
327,1995-96,1996-03-10,Sevilla,Celta,0,0,D
328,1995-96,1996-03-10,Sociedad,Zaragoza,3,1,H
329,1995-96,1996-03-10,Sp Gijon,La Coruna,1,1,D
330,1995-96,1996-03-10,Tenerife,Real Madrid,3,0,H
331,1995-96,1996-03-16,Barcelona,Compostela,1,0,H
332,1995-96,1996-03-16,Real Madrid,Albacete,2,0,H
333,1995-96,1996-03-16,Zaragoza,Santander,1,2,A
334,1995-96,1996-03-17,Ath Bilbao,Valencia,0,1,A
335,1995-96,1996-03-17,Betis,Salamanca,4,0,H
336,1995-96,1996-03-17,Celta,Espanol,4,2,H
337,1995-96,1996-03-17,La Coruna,Sevilla,3,2,H
338,1995-96,1996-03-17,Merida,Ath Madrid,0,1,A
339,1995-96,1996-03-17,Oviedo,Tenerife,1,3,A
340,1995-96,1996-03-17,Valladolid,Sp Gijon,1,0,H
341,1995-96,1996-03-17,Vallecano,Sociedad,2,0,H
342,1995-96,1996-03-23,Sp Gijon,Merida,3,1,H
343,1995-96,1996-03-23,Tenerife,Betis,1,2,A
